experiment_id,station_id,session_id,station_name,power_rows,matched_power_rows,unmatched_power_rows,matched_percent,state_age_mean_seconds,state_age_min_seconds,state_age_p01_seconds,state_age_p10_seconds,state_age_p25_seconds,state_age_p50_seconds,state_age_p75_seconds,state_age_p90_seconds,state_age_p95_seconds,state_age_p99_seconds,state_age_max_seconds
Exp20190124,10,Exp20190124-S10-001,Manual,1839,1839,0,100.0,44.11029037520391,0.02,0.07138,1.116,11.108,37.981,69.4015,98.1068,118.0936,134.13253999999998,143.159
Exp20190124,10,Exp20190124-S10-002,Manual,23,23,0,100.0,0.7459565217391303,0.033,0.03586,0.1066,0.15,0.668,1.1185,1.6998000000000002,2.0408999999999993,2.08502,2.087
Exp20190124,10,Exp20190124-S10-003,Manual,1381,1381,0,100.0,30.134840695148444,0.021,0.1008,1.127,7.694,28.14,49.673,63.203,69.146,77.6532,82.653
Exp20190124,10,,Manual,1921,0,1921,0.0,,,,,,,,,,,
Exp20190124,20,Exp20190124-S20-001,MagazineFront,1685,1685,0,100.0,37.355699703264094,0.287,0.36536,1.3724,6.415,31.393,61.394,81.488,102.20439999999996,119.35036000000001,125.414
Exp20190124,20,Exp20190124-S20-002,MagazineFront,43,43,0,100.0,1.3863488372093022,0.03,0.0342,0.42019999999999996,0.4635,1.461,1.8595000000000002,2.835800000000002,3.3354999999999997,3.42574,3.448
Exp20190124,20,Exp20190124-S20-003,MagazineFront,890,890,0,100.0,44.36856516853933,0.014,0.39967,1.4093,8.47925,35.9875,65.67125,110.12210000000002,132.9961,150.89576,154.955
Exp20190124,20,,MagazineFront,2268,0,2268,0.0,,,,,,,,,,,
Exp20190124,30,Exp20190124-S30-001,DrillingCPS,2198,2198,0,100.0,40.744326205641485,0.136,0.22494,1.2674,9.21675,34.792,62.8245,94.261,112.303,133.27109,140.302
Exp20190124,30,Exp20190124-S30-002,DrillingCPS,1760,1760,0,100.0,59.49721647727272,0.209,0.27,1.7476,14.3455,51.373,100.31875,130.28140000000002,139.36794999999998,149.31515000000002,153.31
Exp20190124,30,,DrillingCPS,3285,0,3285,0.0,,,,,,,,,,,
Exp20190124,50,Exp20190124-S50-001,RobotAssembly,1230,1230,0,100.0,70.14305853658537,0.225,0.36045,12.266600000000002,32.86175,67.3925,104.39525,135.48310000000006,145.86665,153.84923,156.878
Exp20190124,50,Exp20190124-S50-002,RobotAssembly,1513,1513,0,100.0,82.43359947124918,0.325,0.39948,15.349,40.393,82.375,124.409,149.44539999999998,158.35999999999999,167.36332000000002,170.449
Exp20190124,50,,RobotAssembly,4453,0,4453,0.0,,,,,,,,,,,
Exp20190124,60,Exp20190124-S60-001,CameraInspection,1639,1639,0,100.0,68.61555521659548,0.002,0.07633999999999995,1.5078,15.549,51.003,102.7305,171.9966,210.1775999999999,239.9476,246.977
